File Name,CC Value
./vignoles_output\Cluster-Closure-7-17-23\CR2\IMG_9790.png,92.77337188733517
./vignoles_output\Cluster-Closure-7-17-23\CR2\IMG_9791.png,95.64226925338036
./vignoles_output\Cluster-Closure-7-17-23\CR2\IMG_9792.png,95.41224765369111
./vignoles_output\Cluster-Closure-7-17-23\CR2\IMG_9793.png,94.7517413601243
./vignoles_output\Cluster-Closure-7-17-23\CR2\IMG_9795.png,96.0192304159318
./vignoles_output\Cluster-Closure-7-17-23\CR2\IMG_9794.png,94.4039204223356
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9763.png,95.04226603835978
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9764.png,95.82653422094147
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9765.png,92.45784878380364
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9766.png,94.02012734105988
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9767.png,94.29183758765852
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9769.png,84.35517677364156
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9768.png,92.50100551408835
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9770.png,91.08886513710422
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9771 2.png,91.04250158782648
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9772.png,92.94925483696565
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9771.png,91.04250158782648
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9773.png,94.49318645282186
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9774.png,94.25365101673385
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9775.png,89.01511945441757
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9776.png,91.63191655906189
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9777.png,91.03025662425463
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9778.png,90.31712077191987
./vignoles_output\Cluster-Closure-7-17-23\CR3\IMG_9779.png,95.09246792852943
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9841.png,93.92466911533131
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9842.png,80.33876310941042
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9843.png,83.88772754472159
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9844.png,90.14268950249853
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9845.png,90.43078651213573
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9846.png,91.80708597096245
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9847.png,91.37164752089107
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9849.png,90.21927588550852
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9848.png,89.34486410304862
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9850.png,90.04709184985722
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9851.png,93.78342965272529
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9852.png,92.41859600707568
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9853.png,92.83043030097842
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9854.png,94.95934803319476
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9855.png,94.55806917674478
